"title","content","articles","url"
"ETH Staking Deposits Exceed Withdrawals After Shapella Upgrade","Over 61,000 ETH Was Burned In The Last Week Amid Increased Network Activity","ETH Staking Deposits Exceed Withdrawals After Shapella Upgrade

Over 61,000 ETH Was Burned In The Last Week Amid Increased Network Activity

By: Tarang Khaitan   May 09, 2023

Ether staking has been outpacing withdrawals, with investors depositing 192,000 ETH while only withdrawing 29,000 ETH in the past 24 hours. This marks the first time since the Shapella upgrade in April that the cumulative amount of ETH staked has exceeded the total amount of ETH withdrawn.

In addition to the surge in staking activity, the Ethereum network is experiencing a significantly increased burn rate, with more than 61,000 ETH being burnt in the past seven days alone. This is largely due to Uniswap, the largest decentralized exchange by trading volume, which contributed almost half of the ETH being burnt.

Looking ahead, the Ethereum foundation has tentatively selected the Ethereum Improvement Proposals (EIPs) to be included in the next major Dencun update, with a focus on EIP-4844, also known as the Surge. This update is expected to significantly decrease the transaction costs of Ethereum's Layer-2 networks.

Attestation Service

The Ethereum Attestation Service (EAS) now allows users to attest any type of file. The project went live in March on the mainnet and the Arbitrum network. EAS is a tokenless public good that aims to provide a valuable tool for verifying the authenticity of data and combatting malicious actors.

Subscribe to the
Best DeFi
Newsletter
Join 80k+ crypto innovators","https://thedefiant.io/eth-staking-deposits-exceed-withdrawals-after-shapella-upgrade"
"Deloitte Taps Polkadot’s Kilt Protocol For KYC Credentials","Top Consulting Firm Believes Digital IDs Can Improve Inefficient Verification Process","Deloitte Taps Polkadot’s Kilt Protocol For KYC Credentials

Top Consulting Firm Believes Digital IDs Can Improve Inefficient Verification Process

By: Samuel Haig   May 09, 2023

Deloitte Consulting AG, a subsidiary of the ‘Big Four’ accounting firm, Deloitte, has tapped the Polkadot-based Kilt protocol for digital identity services.

Kilt will issue reusable digital credentials for Deloitte Consulting’s KYC/KYB identity checks, which aim to detect fraud and other criminal activity.

“Digital credentials that are convenient, cost-effective and secure have the potential to open new digital marketplaces, from e-commerce and DeFi to gaming,” said Micha Bitterli, head of Deloitte Managed Services.

Kilt said its digital identity (DID) credentials could support a variety of additional use cases, including “regulatory compliance for banking and DeFi, age verification, private logins, and fundraising.”

The KILT token rallied 50% to $0.51 on the news, and last changed hands for $0.36, according to CoinGecko. Deloitte generated $59B of revenue in 2022.

It’s a welcome boost for the Polkadot ecosystem, which was hammered in the bear market following excitement for its initial batches of parachain auctions.

“Deloitte, the world’s biggest accounting firm, is the latest major enterprise partner to come to the Polkadot ecosystem,” Polkadot tweeted. “Kilt’s tech eliminates existing inefficiencies around KYC/KYB processes that can put consumer data privacy at risk, while addressing regulatory compliance for banking and DeFi.”

Polkadot’s Layer 0 relay chain provides shared security from its vast staking ecosystem to Layer 1 “parachains” launching on its infrastructure. Polkadot projects rent one of a hundred parachain slots for periods of up to two years, with the parachains allocated through auctions.

Reusable KYC

Deloitte’s customers will be able to store their DID credentials in a digital wallet that is managed through a browser extension. “The customer can choose with whom they share their credentials and which data points they make available,” the company said.

Kilt said many existing KYC/KYB certificates are paper-based and are not reusable, resulting in the vast collection and storage of personal information that puts consumer data privacy at risk.

“The KYC process is typically inefficient for the verifying entity and repetitive for the customer,” Kilt said. “Reusable KYB and KYC credentials solve many of these challenges, while offering control and flexibility to the customer.”

Deloitte will digitally sign each of the DID credentials it issues. The company also has the power to revoke DID credentials.

Subscribe to the
Best DeFi
Newsletter
Join 80k+ crypto innovators","https://thedefiant.io/deloitte-taps-polkadot-s-kilt-protocol-for-kyc-credentials"
"Sushi Launches Concentrated Liquidity On 13 Blockchains","Another DEX Forks Uniswap V3 After License Lapses","Sushi Launches Concentrated Liquidity On 13 Blockchains

Another DEX Forks Uniswap V3 After License Lapses

By: Samuel Haig   May 06, 2023

Sushi is the latest decentralized exchange to capitalize on the expiration of Uniswap V3’s Business Source License, with Sushi rolling out concentrated liquidity features across 13 chains on Thursday.

“The introduction of v3 enables users and LPs to benefit from more trading volume, liquidity, and reduced exposure to potential impermanent loss,” Sushi said in an announcement.

Sushi said it plans to roll out concentrated liquidity alongside a new user interface on each of the 20 networks the exchange operates on.

The project’s SUSHI token is relatively unchanged over the past week.

SUSHI Price
ETH Price
30. Apr
1. May
2. May
3. May
4. May
5. May
6. May
7. May
8. May
9. May
-20%
-15%
-10%
-5%
0%
+ 5%

SUSHI Price + ETH Price, Source: The Defiant Terminal

Concentrated Liquidity

Concentrated liquidity was pioneered by Uniswap v3 in May 2021, allowing liquidity providers to optimize for capital efficiency. The code was released under a Business Source License, prohibiting unauthorized use for two years following its publication.

The popularity of the protocol contributed to Uniswap enjoying a dramatic lead over its rivals by trade volume, with Uniswap’s top three deployments accounting for $1.2B in daily volume or 57.5% of combined DEX volume, according to CoinGecko. Uniswap also boasts a $2.9B total value locked (TVL), according to DeFi Llama.

But with the license expiring on April 1, Uniswap’s old rivals have been quick to fork its code, with PancakeSwap also launching its v3 iteration with concentrated liquidity in the first week of April and amassing $307M in TVL since.

On April 6, Jared Grey, Sushi’s “head chef,” tweeted that Uniswap’s v3 design is “the most capital-efficient AMM model.”

Uniswap sought to preempt an inevitable influx of v3 forks on rival networks in March, with its community backing authorized v3 deployments on BNB Chain and Avalanche.

Governance Saga

Sushi is a veteran DeFi protocol, launching as a Uniswap v2 fork in August 2020, and briefly emerging as the top DEX by TVL after launching a vampire attack intended to siphon liquidity from Uniswap.

However, Sushi struggled to find long-term governance stability after its pseudonymous co-founder attempted to rug-pull the project in October 2020. Co-founder 0xMaki led the protocol for roughly one year, after which months of infighting between Sushi’s core team, investors, and its community culminated in a failed Frog Nation acquisition.

The Sushi community elected Jared Grey as its new head chef in October 2022 after a contentious selection process. Under Grey, Sushi sought to establish formal legal entities in the Cayman Islands and Panama. However, the move was met with a subpoena from the U.S. Securities and Exchange Commission in March.

“If there’s an entity, it’s not a DAO,” Erik Voorhees, the CEO of ShapeShift,wrote on Twitter. “Don’t let lawyers talk you into incorporation… unless you want to be a corporation.”

Subscribe to the
Best DeFi
Newsletter
Join 80k+ crypto innovators","https://thedefiant.io/sushi-launches-concentrated-liquidity-on-13-blockchains"
"Sui Blockchain Launches Its Mainnet","Hyped Layer 1 Network Trades At $13B Valuation
","Sui Blockchain Launches Its Mainnet

Hyped Layer 1 Network Trades At $13B Valuation

By: Tarang Khaitan   May 05, 2023

Sui, a Layer-1 blockchain developed by former Meta employees, has launched its mainnet. The project uses a proof-of-stake consensus model and was programmed in the Move language, which was originally planned to be used for Meta's now-scrapped Diem project.

Sui’s eponymous governance token is trading at $1.30 as of 2am ET, giving the blockchain a fully diluted valuation of $13B. This puts it ahead of established networks like Avalanche, Solana and Polygon.

The SUI token is used for governance and to pay transaction fees and incentivize validators for staking their tokens. Half of the total supply of 10B tokens is allocated to a community reserve managed by the Sui Foundation.

Early investors are sitting on tidy gains, as the tokens were sold at between $0.03 and $0.10 across multiple exchanges in an Initial Exchange Offering (IEO). Binance users also had the opportunity to stake BNB or TUSD to earn SUI tokens, and the popularity of the campaign briefly caused TUSD to surge above its dollar peg.

Mysten Labs, the core development team behind Sui, raised $300M from VC heavyweights in a series B round at a valuation of $2 billion in September 2022. In March, Alibaba Cloud signed a memorandum of understanding with Mysten Labs to help grow the Sui ecosystem.

Low Throughput

Despite being built for high speed, Sui’s current network throughput is quite low.

Sui is currently processing 3 transactions per second (tps) and reached a peak of 137 tps in the past 30 days. In comparison, SUI's primary competitors, Aptos and Solana, are processing 7 tps and 3,893 tps, respectively.

Nearly 4.72 billion SUI tokens have been staked by 2,165 validators across the globe.

Community Criticism

Many community members were disappointed by Sui's mainnet launch, with some venting their frustration for not being eligible to purchase pre-sale tokens or getting airdrops.

""Tested devnet, multiple testnet waves, wallet, transactions,nfts everything since more than 8mo. Still, I didn't get a single recognition/public sale ticket,"" a Twitter user wrote.

Arthur0x, DeFiance Capital founder, was critical of Sui's lofty valuation.

""Almost all founders of hyped L1 in past cycles are billionaires now despite little real traction achieved in their blockchain,"" he added.




Subscribe to the
Best DeFi
Newsletter
Join 80k+ crypto innovators","https://thedefiant.io/sui-blockchain-launches-its-mainnet"
"Ethereum Developers In ‘Final Stages Of Planning’ Next Major Upgrade","‘Dencun’ Will Focus On Scaling To Reduce Transaction Costs
","Ethereum Developers In ‘Final Stages Of Planning’ Next Major Upgrade

‘Dencun’ Will Focus On Scaling To Reduce Transaction Costs

By: Samuel Haig   May 05, 2023

Despite Ethereum’s Shapella upgrade going live just three weeks ago, the Ethereum Foundation is already looking ahead to the network’s next upgrade, dubbed Dencun.

According to a May 3 blog post from Ethereum Foundation community manager Tim Beiko, Ethereum’s core developers are already in “the final stages of planning” for Dencun.

“We currently have a tentative set of [Ethereum Improvement Proposals] included in the next network upgrade,” Beiko said.

The primary update included in Dencun is EIP-4844, also known as “Proto-Danksharding” or “The Surge.” Researchers anticipate the update will reduce the costs associated with transacting on Ethereum Layer 2 by orders of magnitude. Beiko did not offer any timeline for when Dencun might be activated.

The news comes as Layer 2 networks have emerged as the leading Ethereum scaling solution. Layer 2s surpassed the Ethereum mainnet by daily transaction volume in February, with L2s currently beating Ethereum by double with 2M transactions daily. L2 transactions peaked at nearly 4M six weeks ago, while mainnet activity trended steady at roughly 1M each day for the past six months.

L2s represent a combined total value locked (TVL) of $9.3B, according to L2Beat, equal to one-fifth of the entire DeFi TVL, according to DeFi Llama.

The Surge

EIP-4844 will replace the blockspace-intensive “calldata” currently stored on-chain alongside transactions with “blobs,” with analysts tipping the upgrade will improve Layer 2 throughput by orders of magnitude. Unlike calldata, Blobs do not compete with Ethereum transactions for gas, significantly reducing the blockspace associated with processing transactions on L2.

In a recent appearance on The Defiant Podcast, Carl Beekhuizen of the Ethereum Foundation said the cost of storing data on-chain is the main barrier restricting the scalability of Layer 2 networks. “The idea behind Danksharding and EIP-4844 is to provide really cheap data storage… so the L2s can provide cheap transactions to their users,” Beekhuizen said.

Other Confirmed Upgrades

Beiko confirmed that Dencun will include at least three other upgrades.

EIP-1153 will introduce “transient storage,” which allows certain data to be discarded from transactions rather than stored on-chain. The upgrade will further improve blockspace availability and reduce the costs associated with storing data on-chain.

EIP-6475, also called SSZ Optionals, is a companion to proto-danksharding — which introduces a new type of transaction that uses simple serialize (SSZ) encoding. Beiko said EIP-6475 ensures transaction formats are forward-compatible future SSZ-upgrade devs plan to introduce in the future.

EIP-6780 will deactivate the SELFDESTRUCT opcode, which is used to terminate a smart contract. Beiko said the function is not behaving as expected for certain use cases, adding that client teams are currently considering different solutions for modifying the code.

Ambitious Roadmap

Ethereum is currently undergoing a period of significant transformation which began with the Merge last September, transitioning Ethereum to Proof of Stake consensus. Once the Surge is live following Dencun, Ethereum will undergo three other major upgrades in the form of the Verge, the Purge, and the Splurge.

The Verge will introduce Verkle trees and stateless clients to make Ethereum more lightweight and bolster decentralization. Vitalik Buterin, Ethereum’s co-founder and chief scientist, said that after The Verge, users will be able to launch nodes “without having hundreds of gigabytes on your disc.”

The Purge will remove old history from the blockchain, meaning nodes won’t be required to store the entire history of the blockchain. The network will delete transaction data after it is 30 days old, with infrastructure providers like the Etherscan block explorer expected to continue compiling older historical data.

Finally, the Splurge will introduce “all of the other fun stuff” bolstering the network’s efficiency and performance not included in other upgrades.

Ethereum’s core devs expect the network will enter a phase of relative stability following the Splurge, with Vitalik predicting that Ethereum “will look more like a system that optimizes for safety and predictability.”

Subscribe to the
Best DeFi
Newsletter
Join 80k+ crypto innovators","https://thedefiant.io/ethereum-developers-in-final-stages-of-planning-next-major-upgrade"
"Bitcoin Transactions Hit Record High as New Token Type Takes Off","BRC-20 Fungible Tokens Climb Above $100M Market Capitalization ","Bitcoin Transactions Hit Record High as New Token Type Takes Off

BRC-20 Fungible Tokens Climb Above $100M Market Capitalization

By: Owen Fernau   May 05, 2023

Developers are continuing to push experimentation on the Bitcoin blockchain to new limits.

The most recent major development is BRC-20 tokens, fungible assets named after ERC-20 tokens, a token standard which originated on the Ethereum blockchain and is now used by most tokens issued on that chain.

These tokens have a collective market capitalization of $125M as of May 4, just a small fraction of Bitcoin’s total market cap. And yet, they pushed daily transactions on the Bitcoin blockchain to an all-time high of 682,000 on the first of the month. Bitcoin fees have also spiked to highs not seen since July 2021.

The move is significant. Bitcoin has typically been a network valued for its stability — with its hard cap of 21M tokens backed by a decentralized group of miners, its strength was that it didn’t change. Ordinals, and more recently BRC-20s, represent a shift towards greater experimentation on the Bitcoin ecosystem.

BRC-20 Standard

The pseudonymous developer known as domo released the BRC-20 standard on March 8. For the deployment, they used the Ordinals protocol, which enables a way of “inscribing” small units of Bitcoin known as Satoshis with unique data. The data can be anything digital, ranging from images to audio, to text and video.

In the case of BRC-20s, users are inscribing essential data like a token’s supply in a well-known format called JSON. This makes the tokens fundamentally interchangeable.

For now, there isn't much people can do with BRC-20s. The documentation released by the token type’s creator lists three functions — people can create a token, they can mint one that’s already been created, and they can send it.

These tokens may gain more utility once there are applications to use them on. Still, even minting tokens natively on Bitcoin is a major change in the blockchain’s capabilities, which didn’t allow users to easily issue their own coins.

Ordinals

Since their invention in January, Ordinals have shaken up the Bitcoin community. The technology uses a data field introduced by a Bitcoin upgrade called Segwit, as well as capabilities introduced by Taproot, another upgrade which went live in 2021.

Since then, people have inscribed over 1M Ordinals with marketplaces reminiscent of OpenSea springing up to facilitate trading.

While Ordinals sparked BRC-20s, other projects continue to build on Bitcoin some of the infrastructure that’s driven much of Ethereum’s success. For example, Trustless Computer bills itself as a Layer 1 built on Bitcoin, which would allow developers to deploy full-blown applications like those of the major DeFi protocols, in addition to fungible and non-fungible tokens.

Trustless Computer

Trustless Computer enables its own form of fungible tokens, called SBRC-20s, punk3700, a pseudonymous core contributor to Trustless Computer, told The Defiant. Trustless Computer’s smart contracts can interact with SBRC-20s, but not with BRC-20s. Though the core contributor did say that they are exploring whether to develop a way to bridge BRC-20s to the smart contract solution.

The Trustless Computer team is pushing hard to demonstrate that it’s possible to build applications natively on Bitcoin — they deployed a fork of the second iteration of Uniswap, DeFi’s largest decentralized exchange by volume, on April 30. Trustless Computer allows developers to use Solidity code, which is the most used programming language on Ethereum.

“I feel 10 times better versus my first Ethereum contract deployment in 2017,” punk3077 said.

Trustless Computer doesn’t use the Ordinals protocol, but drew inspiration from it — the smart contract solutions also use the data field introduced by Segwit, which was implemented in 2017.

“I think Ordinals invented an entirely new way of building on Bitcoin,” punk3077 said. “It gives us, developers, an entirely different perspective on Bitcoin. For the first time, we see Bitcoin [as] more than just a currency.”

Trustless Computer is leaning on Ethereum-originating infrastructure for a wallet solution too. Punk3077 introduced a wallet that’s built on MetaMask, the wallet commonly used with Ethereum Virtual Machine (EVM) compatible chains, in February. Users can use MetaMask when using Trustless Computers’ solutions.

Despite its name, Trustless Computer isn’t necessarily trustless — nodes specific to Trustless Computer process the smart contract environment’s transactions off the Bitcoin blockchain. It’s not clear how many nodes are processing Trustless Computer’s transactions, introducing a centralized, and thus corruptible, element to the system.

Building on Bitcoin

Punk3077 isn’t the only one who’s excited about the possibilities of building on Bitcoin. Leonidas, the founder of Ord.io, a blockchain explorer for Ordinals, said BRC-20s show there is a new attitude forming around the blockchain.

“Ordinals culture brings back the recipe for innovation by encouraging developers to try crazy experiments without fear of failure,” the founder told The Defiant.

Leonidas added that Vitalik Buterin, the co-founder of Ethereum, cultivated a welcoming environment for developers because he understood their importance to a crypto network.

“Now there are hundreds of very talented developers working full-time on Web3 use cases on top of Bitcoin,” the founder said.

To be sure, new fads often come and go in crypto. People early to a given development are prone to hype its significance in order to profit, so there’s no guarantee that the excitement around BRC-20s and smart contracts on Bitcoin will last.

The development of BRC-20s and SBRC-20s differ, however, in that they’re enabled by changes to the Bitcoin protocol, which an upgrade called Taproot made possible. As such, the Ordinals protocol, and Trustless Computer is baked somewhat natively into the Bitcoin blockchain. This differs from many attempts to use the network by building on top of it, which can often introduce security vulnerabilities.

The effects of the new activity of the world’s most valuable blockchain are just starting to become clear. The median value of a transaction using Bitcoin has fallen off as people have begun to use the blockchain outside of simply sending BTC.

Leonidas is looking forward to a new era for Bitcoin. “The reality is that over the past five years, Bitcoin has fallen very far behind Ethereum and other Web3 blockchains from an infrastructure and UX perspective.”

Bitcoin has also seen increased interest as major US banks have failed this year and with some investors hedging by directing capital towards the digital asset. With that, plus the developments of native smart contracts, BRC-20s, and Ordinals, the Bitcoin blockchain is certainly drawing attention from a broader audience than it has in recent years.

Punk3700, for one, is aiming to seize the moment. “This is the best time to build on bitcoin,” they said.




Subscribe to the
Best DeFi
Newsletter
Join 80k+ crypto innovators","https://thedefiant.io/bitcoin-transactions-hit-record-high-as-new-token-type-takes-off"
"New Bitcoin Token Overtakes WBTC on Avalanche","BTC.b Enables Bitcoin To Be Used In DeFi Without A Centralized Bridge","New Bitcoin Token Overtakes WBTC on Avalanche

BTC.b Enables Bitcoin To Be Used In DeFi Without A Centralized Bridge

By: Samuel Haig   May 04, 2023

Signs are emerging that the biggest Bitcoin-like token can be unseated. BTC.b is outpacing the long-standing incumbent, Wrapped Bitcoin, on the Avalanche network.

On Sunday, Trader Joe, the top decentralized exchange on Avalanche, tweeted it had processed nearly $1B worth of BTC.b trades across its Avalanche, Arbitrum, and BNB deployments.

According to DexTools, BTC.b volume beat out WBTC on Avalanche by 12% over the past 24 hours.

Bitcoin holders who want to use their BTC on other blockchains, for example, to gain interest or use as loan collateral, can issue tokens that represent their BTC holdings on those chains. The biggest of these BTC derivatives is WBTC, with a market capitalization of $4.4B. WBTC relies on centralized third parties to custody Bitcoin, and a limited set of institutions can issue the token to then sell to individuals.

BTC.b, the wrapped Bitcoin upstart, can be issued by bridging Bitcoin to Avalanche using the Core extension, and bridged to other blockchains using LayerZero.

“For a long time, the primary way to use Bitcoin in DeFi was by relying on centralized bridges such as WBTC,” Trader Joe said.

The growing popularity of BTC.b highlights the appetite for decentralized and trustless alternatives to the centralized bridges that underpin much of cross-chain DeFi. Centralized bridges proved to offer enticing honey pots for hackers in recent years, accounting for $2B or two-thirds of the total losses to crypto exploits last year, according to Chainalysis.

Fast Rise

LayerZero quickly rose to prominence as a leading team working on cross-chain interoperability over the past year, having processed more than $6B worth of bridging transactions since launching in March 2022. However, two-thirds of its cumulative volume was processed during the six weeks following Aribtrum’s $1.7B airdrop on March 23.

However, LayerZero’s purported trustlessness came under scrutiny in January, when a researcher flagged that the protocol’s design could facilitate malicious collusion between the project’s Oracles and Relayers.

“[The paper’s authors] directly state that in order for their mechanics to work, it’s required that Oracle and Relayer are independent and do not collude,” Krzysztof Urbański of L2Beat, a crypto analytics website, told The Defiant. “But it’s up to app developers to choose who is serving as Oracle and Relayer, so they are free to set it up in a way that they are actually dependent and that they do collude.”

LayerZero responded that Urbański’s research rehashed information that was already in the public domain.

“You can build good and bad things on top of it, just like you can build good and bad things on the internet and blockchains.” Ryan Zarick, LayerZero Labs’ co-founder, said.

Trader Joe emphasized the composability of LayerZero’s Omnichain Fungible Tokens (OFT) standard, which underpins BTC.b.

“OFT means that users don't have to worry about constant wrapping/unwrapping, and DeFi projects can easily integrate BTC.b into their applications,” it said.

More than 5,700 Bitcoin have been bridged onto Avalanche via BTC.b, equating to a $163.8M market cap, according to CoinGecko. Users have bridged more than 2,500 BTC.b via LayerZero, indicating the token enjoys significant adoption across multiple chains, including Arbitrum and BNB Chain.

Subscribe to the
Best DeFi
Newsletter
Join 80k+ crypto innovators","https://thedefiant.io/new-bitcoin-token-overtakes-wbtc-on-avalanche"
